Word,Frequency,Probability
actions,2,9.398054602697242e-05
active,2,9.398054602697242e-05
activity,1,4.699027301348621e-05
acts,4,0.00018796109205394484
actual,28,0.0013157276443776138
actually,10,0.0004699027301348621
acute,1,4.699027301348621e-05
ad,1,4.699027301348621e-05
adapts,1,4.699027301348621e-05
adding,1,4.699027301348621e-05
addition,8,0.0003759221841078897
additional,3,0.00014097081904045864
additions,2,9.398054602697242e-05
address,1,4.699027301348621e-05
addresses,1,4.699027301348621e-05
adduced,1,4.699027301348621e-05
adequacy,1,4.699027301348621e-05
adequate,2,9.398054602697242e-05
adequately,1,4.699027301348621e-05
adjectives,5,0.00023495136506743105
admirable,1,4.699027301348621e-05
admission,2,9.398054602697242e-05
admit,13,0.0006108735491753207
admits,2,9.398054602697242e-05
admitted,5,0.00023495136506743105
admittedthat,1,4.699027301348621e-05
admitthough,1,4.699027301348621e-05
admitting,1,4.699027301348621e-05
admixture,1,4.699027301348621e-05
adopt,6,0.0002819416380809173
advance,4,0.00018796109205394484
advanced,3,0.00014097081904045864
advances,1,4.699027301348621e-05
adversaries,1,4.699027301348621e-05
advocate,1,4.699027301348621e-05
advocated,6,0.0002819416380809173
advocates,1,4.699027301348621e-05
advocating,1,4.699027301348621e-05
aeroplanes,2,9.398054602697242e-05
aesthetic,1,4.699027301348621e-05
aether,1,4.699027301348621e-05
af,1,4.699027301348621e-05
affairs,1,4.699027301348621e-05
affections,1,4.699027301348621e-05
affirm,2,9.398054602697242e-05
affirmative,1,4.699027301348621e-05
affirmed,2,9.398054602697242e-05
afford,3,0.00014097081904045864
afforded,1,4.699027301348621e-05
affords,2,9.398054602697242e-05
afterwards,2,9.398054602697242e-05
age,4,0.00018796109205394484
agent,1,4.699027301348621e-05
ago,6,0.0002819416380809173
agree,12,0.0005638832761618346
agreeably,1,4.699027301348621e-05
agreed,4,0.00018796109205394484
agreedthe,1,4.699027301348621e-05
agreement,19,0.000892815187256238
aim,1,4.699027301348621e-05
aimed,1,4.699027301348621e-05
aims,3,0.00014097081904045864
air,5,0.00023495136506743105
akin,1,4.699027301348621e-05
alien,1,4.699027301348621e-05
alive,2,9.398054602697242e-05
allembracing,1,4.699027301348621e-05
allimportant,1,4.699027301348621e-05
allow,2,9.398054602697242e-05
allowed,1,4.699027301348621e-05
allowing,1,4.699027301348621e-05
allows,1,4.699027301348621e-05
allround,1,4.699027301348621e-05
almost,18,0.0008458249142427517
alone,11,0.0005168930031483483
along,6,0.0002819416380809173
already,14,0.0006578638221888069
also,51,0.0023965039236877967
alter,2,9.398054602697242e-05
alteration,1,4.699027301348621e-05
altered,1,4.699027301348621e-05
alternate,1,4.699027301348621e-05
alternatives,1,4.699027301348621e-05
alters,1,4.699027301348621e-05
although,28,0.0013157276443776138
altogether,5,0.00023495136506743105
always,28,0.0013157276443776138
ambiguity,3,0.00014097081904045864
ambiguous,6,0.0002819416380809173
ambitious,1,4.699027301348621e-05
amend,1,4.699027301348621e-05
among,22,0.0010337860062966965
amount,4,0.00018796109205394484
amply,1,4.699027301348621e-05
analogous,1,4.699027301348621e-05
analyse,1,4.699027301348621e-05
analyses,1,4.699027301348621e-05
analysing,2,9.398054602697242e-05
analysis,8,0.0003759221841078897
analytic,6,0.0002819416380809173
anatomist,1,4.699027301348621e-05
angles,3,0.00014097081904045864
animal,1,4.699027301348621e-05
animals,6,0.0002819416380809173
announce,2,9.398054602697242e-05
announcement,1,4.699027301348621e-05
announces,2,9.398054602697242e-05
another,26,0.0012217470983506415
answer,28,0.0013157276443776138
answered,2,9.398054602697242e-05
answering,3,0.00014097081904045864
answers,11,0.0005168930031483483
anticipate,1,4.699027301348621e-05
anticipating,1,4.699027301348621e-05
anticipation,1,4.699027301348621e-05
antithesis,3,0.00014097081904045864
anxious,2,9.398054602697242e-05
anybody,3,0.00014097081904045864
anybodys,1,4.699027301348621e-05
anyone,5,0.00023495136506743105
anything,40,0.0018796109205394484
anywhere,3,0.00014097081904045864
apart,10,0.0004699027301348621
apparent,14,0.0006578638221888069
apparently,2,9.398054602697242e-05
appeal,4,0.00018796109205394484
appealing,2,9.398054602697242e-05
appear,16,0.0007518443682157794
appearance,15,0.0007048540952022931
appearances,1,4.699027301348621e-05
appeared,5,0.00023495136506743105
appearing,1,4.699027301348621e-05
appears,17,0.0007988346412292655
appetite,1,4.699027301348621e-05
applicable,12,0.0005638832761618346
application,1,4.699027301348621e-05
applications,3,0.00014097081904045864
applied,1,4.699027301348621e-05
applies,17,0.0007988346412292655
apply,9,0.00042291245712137586
applying,2,9.398054602697242e-05
apportions,1,4.699027301348621e-05
apprehend,3,0.00014097081904045864
apprehended,9,0.00042291245712137586
apprehendedmust,1,4.699027301348621e-05
apprehending,2,9.398054602697242e-05
apprehends,1,4.699027301348621e-05
apprehension,3,0.00014097081904045864
approach,5,0.00023495136506743105
approaches,1,4.699027301348621e-05
approaching,1,4.699027301348621e-05
apt,5,0.00023495136506743105
archive,13,0.0006108735491753207
arduous,1,4.699027301348621e-05
argue,5,0.00023495136506743105
argued,1,4.699027301348621e-05
arguedcorrectly,1,4.699027301348621e-05
argues,1,4.699027301348621e-05
arguing,1,4.699027301348621e-05
argument,26,0.0012217470983506415
arguments,16,0.0007518443682157794
arise,9,0.00042291245712137586
arises,4,0.00018796109205394484
arithmetic,11,0.0005168930031483483
arithmetical,3,0.00014097081904045864
arm,3,0.00014097081904045864
arose,1,4.699027301348621e-05
arrange,1,4.699027301348621e-05
arranged,2,9.398054602697242e-05
arrangement,3,0.00014097081904045864
array,1,4.699027301348621e-05
arrive,7,0.00032893191109440345
arrived,1,4.699027301348621e-05
arriving,1,4.699027301348621e-05
arrogant,1,4.699027301348621e-05
artificial,1,4.699027301348621e-05
ascertain,2,9.398054602697242e-05
ascertainable,2,9.398054602697242e-05
ascertained,1,4.699027301348621e-05
ascii,2,9.398054602697242e-05
ask,12,0.0005638832761618346
asked,4,0.00018796109205394484
asking,4,0.00018796109205394484
asks,1,4.699027301348621e-05
aspect,2,9.398054602697242e-05
assassinated,1,4.699027301348621e-05
assent,2,9.398054602697242e-05
assented,1,4.699027301348621e-05
assert,7,0.00032893191109440345
asserted,2,9.398054602697242e-05
asserting,3,0.00014097081904045864
assertion,3,0.00014097081904045864
asserts,7,0.00032893191109440345
assigns,1,4.699027301348621e-05
assimilate,1,4.699027301348621e-05
assist,1,4.699027301348621e-05
assistance,3,0.00014097081904045864
associate,2,9.398054602697242e-05
associated,23,0.0010807762793101827
association,10,0.0004699027301348621
associations,2,9.398054602697242e-05
assume,10,0.0004699027301348621
assumed,4,0.00018796109205394484
assumes,3,0.00014097081904045864
assuming,6,0.0002819416380809173
assumption,2,9.398054602697242e-05
assumptions,1,4.699027301348621e-05
assurance,1,4.699027301348621e-05
assure,1,4.699027301348621e-05
assured,1,4.699027301348621e-05
astray,1,4.699027301348621e-05
astronomy,2,9.398054602697242e-05
astute,4,0.00018796109205394484
ate,1,4.699027301348621e-05
atheists,1,4.699027301348621e-05
atoms,1,4.699027301348621e-05
attach,2,9.398054602697242e-05
attached,1,4.699027301348621e-05
attack,1,4.699027301348621e-05
attain,1,4.699027301348621e-05
attainable,1,4.699027301348621e-05
attained,2,9.398054602697242e-05
attainedmany,1,4.699027301348621e-05
attempt,16,0.0007518443682157794
attempted,2,9.398054602697242e-05
attempts,4,0.00018796109205394484
attendant,2,9.398054602697242e-05
attention,5,0.00023495136506743105
attested,1,4.699027301348621e-05
attitude,1,4.699027301348621e-05
attributing,1,4.699027301348621e-05
author,1,4.699027301348621e-05
available,2,9.398054602697242e-05
avoid,5,0.00023495136506743105
avoided,1,4.699027301348621e-05
avoiding,1,4.699027301348621e-05
aware,23,0.0010807762793101827
awareness,3,0.00014097081904045864
awaresay,1,4.699027301348621e-05
away,6,0.0002819416380809173
awayyou,1,4.699027301348621e-05
axioms,3,0.00014097081904045864
b,25,0.0011747568253371553
babies,1,4.699027301348621e-05
back,5,0.00023495136506743105
backward,1,4.699027301348621e-05
backwards,1,4.699027301348621e-05
bad,2,9.398054602697242e-05
badit,1,4.699027301348621e-05
bald,3,0.00014097081904045864
baldness,1,4.699027301348621e-05
balfour,2,9.398054602697242e-05
balloons,2,9.398054602697242e-05
banging,1,4.699027301348621e-05
bannerman,1,4.699027301348621e-05
bar,1,4.699027301348621e-05
bare,2,9.398054602697242e-05
barrier,1,4.699027301348621e-05
based,14,0.0006578638221888069
basis,8,0.0003759221841078897
battle,3,0.00014097081904045864
bear,2,9.398054602697242e-05
bearing,2,9.398054602697242e-05
beat,1,4.699027301348621e-05
became,1,4.699027301348621e-05
become,36,0.0016916498284855034
becomes,19,0.000892815187256238
becoming,1,4.699027301348621e-05
bed,1,4.699027301348621e-05
beech,10,0.0004699027301348621
beg,1,4.699027301348621e-05
began,6,0.0002819416380809173
begging,1,4.699027301348621e-05
begin,18,0.0008458249142427517
beginner,1,4.699027301348621e-05
beginning,4,0.00018796109205394484
begins,2,9.398054602697242e-05
begs,1,4.699027301348621e-05
begun,1,4.699027301348621e-05
behave,1,4.699027301348621e-05
behaviour,1,4.699027301348621e-05
behind,2,9.398054602697242e-05
beingas,1,4.699027301348621e-05
beings,6,0.0002819416380809173
beis,1,4.699027301348621e-05
beleagured,1,4.699027301348621e-05
belief,100,0.004699027301348621
beliefs,48,0.002255533104647338
beliefsfor,1,4.699027301348621e-05
beliefssuch,1,4.699027301348621e-05
believe,47,0.0022085428316338516
believed,13,0.0006108735491753207
believes,17,0.0007988346412292655
believesto,1,4.699027301348621e-05
believing,24,0.001127766552323669
bell,1,4.699027301348621e-05
bells,2,9.398054602697242e-05
belong,3,0.00014097081904045864
belongs,9,0.00042291245712137586
berkeley,21,0.0009867957332832104
berkeleys,5,0.00023495136506743105
bertrand,3,0.00014097081904045864
besides,4,0.00018796109205394484
besomething,1,4.699027301348621e-05
best,6,0.0002819416380809173
better,6,0.0002819416380809173
bewildering,1,4.699027301348621e-05
beyond,14,0.0006578638221888069
bibliographical,1,4.699027301348621e-05
bid,1,4.699027301348621e-05
bigger,1,4.699027301348621e-05
binary,1,4.699027301348621e-05
binds,1,4.699027301348621e-05
bishop,2,9.398054602697242e-05
bismarck,15,0.0007048540952022931
bismarcks,1,4.699027301348621e-05
black,2,9.398054602697242e-05
blank,1,4.699027301348621e-05
blind,12,0.0005638832761618346
blue,7,0.00032893191109440345
bluegreen,1,4.699027301348621e-05
bodies,8,0.0003759221841078897
body,25,0.0011747568253371553
bolder,1,4.699027301348621e-05
bone,1,4.699027301348621e-05
books,4,0.00018796109205394484
bored,1,4.699027301348621e-05
born,4,0.00018796109205394484
borne,1,4.699027301348621e-05
bought,2,9.398054602697242e-05
bound,3,0.00014097081904045864
boundaries,2,9.398054602697242e-05
bounds,1,4.699027301348621e-05
bradley,1,4.699027301348621e-05
brain,2,9.398054602697242e-05
breach,2,9.398054602697242e-05
bread,2,9.398054602697242e-05
breakfast,3,0.00014097081904045864
brick,1,4.699027301348621e-05
brief,1,4.699027301348621e-05
briefest,1,4.699027301348621e-05
briefly,5,0.00023495136506743105
brighter,1,4.699027301348621e-05
brightness,1,4.699027301348621e-05
bring,3,0.00014097081904045864
brings,2,9.398054602697242e-05
british,1,4.699027301348621e-05
broadly,4,0.00018796109205394484
broken,1,4.699027301348621e-05
brotherhood,1,4.699027301348621e-05
brought,4,0.00018796109205394484
brown,13,0.0006108735491753207
build,1,4.699027301348621e-05
builder,1,4.699027301348621e-05
buildings,1,4.699027301348621e-05
built,2,9.398054602697242e-05
business,6,0.0002819416380809173
buy,2,9.398054602697242e-05
c,4,0.00018796109205394484
caesar,6,0.0002819416380809173
calculate,1,4.699027301348621e-05
calculated,1,4.699027301348621e-05
call,28,0.0013157276443776138
called,49,0.0023025233776608244
calling,2,9.398054602697242e-05
calls,5,0.00023495136506743105
calm,1,4.699027301348621e-05
calmly,2,9.398054602697242e-05
came,3,0.00014097081904045864
campbell,1,4.699027301348621e-05
campsfriends,1,4.699027301348621e-05
candid,1,4.699027301348621e-05
candidate,7,0.00032893191109440345
candidates,2,9.398054602697242e-05
cannot,89,0.004182134298200272
cantor,1,4.699027301348621e-05
capable,16,0.0007518443682157794
card,1,4.699027301348621e-05
care,6,0.0002819416380809173
careful,1,4.699027301348621e-05
carefully,2,9.398054602697242e-05
carelessly,1,4.699027301348621e-05
carry,1,4.699027301348621e-05
case,67,0.003148348291903576
cases,39,0.0018326206475259622
cassio,28,0.0013157276443776138
cat,5,0.00023495136506743105
catalogue,1,4.699027301348621e-05
catalogued,1,4.699027301348621e-05
catching,1,4.699027301348621e-05
categories,1,4.699027301348621e-05
causality,2,9.398054602697242e-05
cause,19,0.000892815187256238
caused,5,0.00023495136506743105
causes,7,0.00032893191109440345
causing,2,9.398054602697242e-05
cease,4,0.00018796109205394484
ceased,4,0.00018796109205394484
ceases,5,0.00023495136506743105
cement,3,0.00014097081904045864
centuries,1,4.699027301348621e-05
century,1,4.699027301348621e-05
certain,91,0.004276114844227245
certainly,10,0.0004699027301348621
certainty,32,0.0015036887364315587
cf,1,4.699027301348621e-05
chair,2,9.398054602697242e-05
chairs,2,9.398054602697242e-05
challenged,2,9.398054602697242e-05
chance,1,4.699027301348621e-05
chancellor,4,0.00018796109205394484
change,5,0.00023495136506743105
changeable,1,4.699027301348621e-05
changed,1,4.699027301348621e-05
changes,1,4.699027301348621e-05
changing,2,9.398054602697242e-05
chapter,47,0.0022085428316338516
chapters,5,0.00023495136506743105
character,5,0.00023495136506743105
characteristic,6,0.0002819416380809173
characteristics,9,0.00042291245712137586
characters,2,9.398054602697242e-05
charge,6,0.0002819416380809173
charges,2,9.398054602697242e-05
charitable,1,4.699027301348621e-05
charities,1,4.699027301348621e-05
charles,5,0.00023495136506743105
check,4,0.00018796109205394484
checks,1,4.699027301348621e-05
chicken,4,0.00018796109205394484
chief,6,0.0002819416380809173
chiefly,2,9.398054602697242e-05
child,1,4.699027301348621e-05
chimaera,1,4.699027301348621e-05
chime,3,0.00014097081904045864
china,2,9.398054602697242e-05
choice,1,4.699027301348621e-05
choose,3,0.00014097081904045864
chosen,1,4.699027301348621e-05
circle,4,0.00018796109205394484
circular,4,0.00018796109205394484
circumstances,6,0.0002819416380809173
citizens,1,4.699027301348621e-05
citizenship,1,4.699027301348621e-05
city,2,9.398054602697242e-05
claim,5,0.00023495136506743105
clash,1,4.699027301348621e-05
clashes,1,4.699027301348621e-05
class,5,0.00023495136506743105
clean,1,4.699027301348621e-05
clear,14,0.0006578638221888069
clearer,2,9.398054602697242e-05
clearly,3,0.00014097081904045864
clock,1,4.699027301348621e-05
close,2,9.398054602697242e-05
closed,1,4.699027301348621e-05
closely,2,9.398054602697242e-05
closer,1,4.699027301348621e-05
closes,1,4.699027301348621e-05
cloth,3,0.00014097081904045864
clouds,1,4.699027301348621e-05
coalesce,1,4.699027301348621e-05
codes,1,4.699027301348621e-05
coexistence,3,0.00014097081904045864
cogito,1,4.699027301348621e-05
cohere,1,4.699027301348621e-05
coherence,10,0.0004699027301348621
coherent,8,0.0003759221841078897
coin,1,4.699027301348621e-05
coins,1,4.699027301348621e-05
collection,14,0.0006578638221888069
collections,3,0.00014097081904045864
collective,1,4.699027301348621e-05
colony,1,4.699027301348621e-05
colour,56,0.0026314552887552276
colourblind,1,4.699027301348621e-05
colours,12,0.0005638832761618346
combination,1,4.699027301348621e-05
combine,1,4.699027301348621e-05
combined,2,9.398054602697242e-05
come,22,0.0010337860062966965
comes,9,0.00042291245712137586
coming,1,4.699027301348621e-05
commentators,2,9.398054602697242e-05
commercial,1,4.699027301348621e-05
commit,1,4.699027301348621e-05
committed,2,9.398054602697242e-05
common,34,0.001597669282458531
commonest,2,9.398054602697242e-05
commonly,10,0.0004699027301348621
commonsense,2,9.398054602697242e-05
communicate,1,4.699027301348621e-05
community,1,4.699027301348621e-05
comparative,1,4.699027301348621e-05
compare,1,4.699027301348621e-05
compared,1,4.699027301348621e-05
comparing,1,4.699027301348621e-05
comparison,3,0.00014097081904045864
compelled,5,0.00023495136506743105
competent,1,4.699027301348621e-05
compilation,1,4.699027301348621e-05
complement,1,4.699027301348621e-05
complete,6,0.0002819416380809173
completed,1,4.699027301348621e-05
completely,10,0.0004699027301348621
complex,33,0.001550679009445045
compliance,5,0.00023495136506743105
complicated,3,0.00014097081904045864
comply,6,0.0002819416380809173
complying,3,0.00014097081904045864
composed,6,0.0002819416380809173
compressed,1,4.699027301348621e-05
computer,2,9.398054602697242e-05
computers,2,9.398054602697242e-05
conceded,2,9.398054602697242e-05
conceivable,1,4.699027301348621e-05
conceivably,1,4.699027301348621e-05
conceiving,1,4.699027301348621e-05
concentrate,1,4.699027301348621e-05
concept,3,0.00014097081904045864
conception,5,0.00023495136506743105
concepts,2,9.398054602697242e-05
concern,4,0.00018796109205394484
concerned,16,0.0007518443682157794
concerning,38,0.001785630374512476
concerns,3,0.00014097081904045864
concluded,1,4.699027301348621e-05
conclusion,17,0.0007988346412292655
conclusions,2,9.398054602697242e-05
concourse,1,4.699027301348621e-05
concrete,3,0.00014097081904045864
condemns,1,4.699027301348621e-05
condition,2,9.398054602697242e-05
conditions,4,0.00018796109205394484
conduct,1,4.699027301348621e-05
confess,1,4.699027301348621e-05
confidence,3,0.00014097081904045864
confident,2,9.398054602697242e-05
confine,1,4.699027301348621e-05
confined,6,0.0002819416380809173
confining,1,4.699027301348621e-05
confirm,2,9.398054602697242e-05
confirmation,1,4.699027301348621e-05
confirmed,1,4.699027301348621e-05
confirms,1,4.699027301348621e-05
conflict,1,4.699027301348621e-05
conform,3,0.00014097081904045864
conformity,1,4.699027301348621e-05
confused,1,4.699027301348621e-05
confusing,1,4.699027301348621e-05
confusion,8,0.0003759221841078897
confusions,1,4.699027301348621e-05
confute,1,4.699027301348621e-05
conjecture,1,4.699027301348621e-05
connaître,1,4.699027301348621e-05
connected,12,0.0005638832761618346
connecting,1,4.699027301348621e-05
connects,1,4.699027301348621e-05
connexion,19,0.000892815187256238
connexions,3,0.00014097081904045864
conscious,3,0.00014097081904045864
consciously,2,9.398054602697242e-05
consciousness,5,0.00023495136506743105
consent,1,4.699027301348621e-05
consequences,1,4.699027301348621e-05
consequential,1,4.699027301348621e-05
consequently,1,4.699027301348621e-05
consider,33,0.001550679009445045
considerable,3,0.00014097081904045864
consideration,7,0.00032893191109440345
considerations,2,9.398054602697242e-05
considered,14,0.0006578638221888069
considering,12,0.0005638832761618346
considers,2,9.398054602697242e-05
consist,4,0.00018796109205394484
consisted,1,4.699027301348621e-05
consisting,3,0.00014097081904045864
consists,21,0.0009867957332832104
constant,5,0.00023495136506743105
constantly,6,0.0002819416380809173
constituency,4,0.00018796109205394484
constituent,4,0.00018796109205394484
constituents,10,0.0004699027301348621
constitute,6,0.0002819416380809173
constituted,6,0.0002819416380809173
constitutes,5,0.00023495136506743105
constituting,1,4.699027301348621e-05
constitution,2,9.398054602697242e-05
construct,1,4.699027301348621e-05
constructed,1,4.699027301348621e-05
constructing,1,4.699027301348621e-05
constructions,1,4.699027301348621e-05
constructive,1,4.699027301348621e-05
contact,6,0.0002819416380809173
contain,10,0.0004699027301348621
contained,2,9.398054602697242e-05
containing,3,0.00014097081904045864
contains,4,0.00018796109205394484
contemplated,1,4.699027301348621e-05
contemplates,3,0.00014097081904045864
contemplating,1,4.699027301348621e-05
contemplation,13,0.0006108735491753207
contemplative,1,4.699027301348621e-05
contemptuously,1,4.699027301348621e-05
contended,1,4.699027301348621e-05
content,2,9.398054602697242e-05
contention,1,4.699027301348621e-05
contentions,1,4.699027301348621e-05
contents,3,0.00014097081904045864
context,2,9.398054602697242e-05
continental,1,4.699027301348621e-05
continual,2,9.398054602697242e-05
continue,6,0.0002819416380809173
continued,1,4.699027301348621e-05
continues,6,0.0002819416380809173
continuing,1,4.699027301348621e-05
continuous,1,4.699027301348621e-05
continuously,1,4.699027301348621e-05
contract,1,4.699027301348621e-05
contradict,1,4.699027301348621e-05
contradiction,20,0.0009398054602697242
contradictions,5,0.00023495136506743105
contradictory,1,4.699027301348621e-05
contrary,14,0.0006578638221888069
contrast,1,4.699027301348621e-05
contributed,1,4.699027301348621e-05
contribution,1,4.699027301348621e-05
contributions,2,9.398054602697242e-05
control,2,9.398054602697242e-05
controversies,2,9.398054602697242e-05
controversy,2,9.398054602697242e-05
convenient,1,4.699027301348621e-05
converged,1,4.699027301348621e-05
conversation,1,4.699027301348621e-05
conversely,2,9.398054602697242e-05
convert,1,4.699027301348621e-05
convey,2,9.398054602697242e-05
convictions,3,0.00014097081904045864
convinced,2,9.398054602697242e-05
convincing,1,4.699027301348621e-05
cool,1,4.699027301348621e-05
cooperation,1,4.699027301348621e-05
copied,2,9.398054602697242e-05
copies,7,0.00032893191109440345
copy,12,0.0005638832761618346
copying,4,0.00018796109205394484
copyright,19,0.000892815187256238
corporation,1,4.699027301348621e-05
correct,4,0.00018796109205394484
correctly,1,4.699027301348621e-05
correlative,1,4.699027301348621e-05
correspond,8,0.0003759221841078897
corresponded,1,4.699027301348621e-05
correspondence,12,0.0005638832761618346
corresponding,14,0.0006578638221888069
corresponds,6,0.0002819416380809173
corrupt,1,4.699027301348621e-05
cost,3,0.00014097081904045864
costs,2,9.398054602697242e-05
could,58,0.0027254358347822
counterparts,1,4.699027301348621e-05
countless,1,4.699027301348621e-05
countries,1,4.699027301348621e-05
country,4,0.00018796109205394484
couple,3,0.00014097081904045864
couples,8,0.0003759221841078897
course,18,0.0008458249142427517
cranny,1,4.699027301348621e-05
create,4,0.00018796109205394484
created,4,0.00018796109205394484
creates,1,4.699027301348621e-05
creating,4,0.00018796109205394484
creation,1,4.699027301348621e-05
credit,2,9.398054602697242e-05
criterion,2,9.398054602697242e-05
critical,6,0.0002819416380809173
critically,2,9.398054602697242e-05
criticism,9,0.00042291245712137586
criticisms,1,4.699027301348621e-05
criticized,1,4.699027301348621e-05
crude,4,0.00018796109205394484
crudely,1,4.699027301348621e-05
cs,1,4.699027301348621e-05
current,1,4.699027301348621e-05
custom,1,4.699027301348621e-05
customary,1,4.699027301348621e-05
cut,2,9.398054602697242e-05
cutting,1,4.699027301348621e-05
daily,8,0.0003759221841078897
damage,2,9.398054602697242e-05
damaged,1,4.699027301348621e-05
damages,4,0.00018796109205394484
danger,1,4.699027301348621e-05
dark,3,0.00014097081904045864
data,17,0.0007988346412292655
dataif,1,4.699027301348621e-05
date,3,0.00014097081904045864
dates,1,4.699027301348621e-05
datum,5,0.00023495136506743105
day,5,0.00023495136506743105
days,5,0.00023495136506743105
dead,2,9.398054602697242e-05
deal,6,0.0002819416380809173
dealing,7,0.00032893191109440345
deals,3,0.00014097081904045864
dealt,6,0.0002819416380809173
death,2,9.398054602697242e-05
debate,1,4.699027301348621e-05
debated,1,4.699027301348621e-05
deceitful,1,4.699027301348621e-05
deceive,1,4.699027301348621e-05
december,1,4.699027301348621e-05
deceptive,1,4.699027301348621e-05
decide,3,0.00014097081904045864
decided,3,0.00014097081904045864
decides,1,4.699027301348621e-05
deciding,1,4.699027301348621e-05
decision,1,4.699027301348621e-05
declared,1,4.699027301348621e-05
deduce,5,0.00023495136506743105
deduced,18,0.0008458249142427517
deducible,2,9.398054602697242e-05
deducing,1,4.699027301348621e-05
deductible,1,4.699027301348621e-05
deduction,6,0.0002819416380809173
deductions,3,0.00014097081904045864
deeds,1,4.699027301348621e-05
deeply,1,4.699027301348621e-05
defeated,1,4.699027301348621e-05
defect,4,0.00018796109205394484
defective,3,0.00014097081904045864
defensible,1,4.699027301348621e-05
define,2,9.398054602697242e-05
defined,1,4.699027301348621e-05
definite,19,0.000892815187256238
definitely,3,0.00014097081904045864
definiteness,1,4.699027301348621e-05
definition,18,0.0008458249142427517
definitions,1,4.699027301348621e-05
degree,21,0.0009867957332832104
degrees,8,0.0003759221841078897
deletions,1,4.699027301348621e-05
deliberate,1,4.699027301348621e-05
delightful,1,4.699027301348621e-05
delusion,1,4.699027301348621e-05
demand,4,0.00018796109205394484
demanding,1,4.699027301348621e-05
demands,3,0.00014097081904045864
demon,3,0.00014097081904045864
demonstrably,1,4.699027301348621e-05
demonstration,2,9.398054602697242e-05
demonstrations,2,9.398054602697242e-05
demonstrative,1,4.699027301348621e-05
demonstratively,1,4.699027301348621e-05
denial,3,0.00014097081904045864
